data_id,Specimen Collection Date,New Cases,Cumulative Cases
1,2020-03-03,2,2
2,2020-03-04,0,2
3,2020-03-05,6,8
4,2020-03-06,0,8
5,2020-03-07,5,13
6,2020-03-08,1,14
7,2020-03-09,0,14
8,2020-03-10,6,20
9,2020-03-11,9,29
10,2020-03-12,9,38
11,2020-03-13,16,54
12,2020-03-14,10,64
13,2020-03-15,11,75
14,2020-03-16,41,116
15,2020-03-17,27,143
16,2020-03-18,22,165
17,2020-03-19,19,184
18,2020-03-20,35,219
19,2020-03-21,17,236
20,2020-03-22,26,262
21,2020-03-23,33,295
22,2020-03-24,41,336
23,2020-03-25,44,380
24,2020-03-26,42,422
25,2020-03-27,33,455
26,2020-03-28,17,472
27,2020-03-29,14,486
28,2020-03-30,43,529
29,2020-03-31,55,584
30,2020-04-01,40,624
31,2020-04-02,38,662
32,2020-04-03,26,688
33,2020-04-04,15,703
34,2020-04-05,36,739
35,2020-04-06,52,791
36,2020-04-07,57,848
37,2020-04-08,66,914
38,2020-04-09,76,990
39,2020-04-10,28,1018
40,2020-04-11,23,1041
41,2020-04-12,18,1059
42,2020-04-13,33,1092
43,2020-04-14,46,1138
44,2020-04-15,53,1191
45,2020-04-16,30,1221
46,2020-04-17,40,1261
47,2020-04-18,14,1275
48,2020-04-19,34,1309
49,2020-04-20,37,1346
50,2020-04-21,30,1376
51,2020-04-22,32,1408
52,2020-04-23,46,1454
53,2020-04-24,36,1490
54,2020-04-25,50,1540
55,2020-04-26,32,1572
56,2020-04-27,36,1608
57,2020-04-28,73,1681
58,2020-04-29,49,1730
59,2020-04-30,39,1769
60,2020-05-01,34,1803
61,2020-05-02,46,1849
62,2020-05-03,11,1860
63,2020-05-04,44,1904
64,2020-05-05,44,1948
65,2020-05-06,41,1989
66,2020-05-07,27,2016
67,2020-05-08,27,2043
68,2020-05-09,7,2050
69,2020-05-10,5,2055
70,2020-05-11,27,2082
71,2020-05-12,54,2136
72,2020-05-13,32,2168
73,2020-05-14,36,2204
74,2020-05-15,35,2239
75,2020-05-16,8,2247
76,2020-05-17,10,2257
77,2020-05-18,44,2301
78,2020-05-19,32,2333
79,2020-05-20,42,2375
80,2020-05-21,26,2401
81,2020-05-22,33,2434
82,2020-05-23,17,2451
83,2020-05-24,11,2462
84,2020-05-25,9,2471
85,2020-05-26,47,2518
86,2020-05-27,35,2553
87,2020-05-28,24,2577
88,2020-05-29,32,2609
89,2020-05-30,22,2631
90,2020-05-31,26,2657
91,2020-06-01,38,2695
92,2020-06-02,45,2740
93,2020-06-03,27,2767
94,2020-06-04,38,2805
95,2020-06-05,29,2834
96,2020-06-06,15,2849
97,2020-06-07,17,2866
98,2020-06-08,35,2901
99,2020-06-09,33,2934
100,2020-06-10,19,2953
101,2020-06-11,23,2976
102,2020-06-12,27,3003
103,2020-06-13,20,3023
104,2020-06-14,15,3038
105,2020-06-15,35,3073
106,2020-06-16,48,3121
107,2020-06-17,50,3171
108,2020-06-18,45,3216
109,2020-06-19,43,3259
110,2020-06-20,41,3300
111,2020-06-21,32,3332
112,2020-06-22,105,3437
113,2020-06-23,79,3516
114,2020-06-24,61,3577
115,2020-06-25,66,3643
116,2020-06-26,69,3712
117,2020-06-27,51,3763
118,2020-06-28,36,3799
119,2020-06-29,72,3871
120,2020-06-30,99,3970
121,2020-07-01,80,4050
122,2020-07-02,103,4153
123,2020-07-03,80,4233
124,2020-07-04,27,4260
125,2020-07-05,51,4311
126,2020-07-06,86,4397
127,2020-07-07,100,4497
128,2020-07-08,111,4608
129,2020-07-09,109,4717
130,2020-07-10,127,4844
131,2020-07-11,67,4911
132,2020-07-12,67,4978
133,2020-07-13,139,5117
134,2020-07-14,161,5278
135,2020-07-15,154,5432
136,2020-07-16,145,5577
137,2020-07-17,154,5731
138,2020-07-18,79,5810
139,2020-07-19,74,5884
140,2020-07-20,147,6031
141,2020-07-21,128,6159
142,2020-07-22,127,6286
143,2020-07-23,122,6408
144,2020-07-24,121,6529
145,2020-07-25,77,6606
146,2020-07-26,62,6668
147,2020-07-27,92,6760
148,2020-07-28,96,6856
149,2020-07-29,137,6993
150,2020-07-30,126,7119
151,2020-07-31,115,7234
152,2020-08-01,66,7300
153,2020-08-02,45,7345
154,2020-08-03,103,7448
155,2020-08-04,83,7531
156,2020-08-05,133,7664
157,2020-08-06,101,7765
158,2020-08-07,130,7895
159,2020-08-08,60,7955
160,2020-08-09,60,8015
161,2020-08-10,104,8119
162,2020-08-11,105,8224
163,2020-08-12,132,8356
