ID,DATE_ADMINISTERED,NEW_1ST_DOSES,NEW_2ND_DOSES,NEW_SINGLE_DOSES,NEW_SERIES_COMPLETED,NEW_RECIPIENTS,CUMULATIVE_1ST_DOSES,CUMULATIVE_2ND_DOSES,CUMULATIVE_SINGLE_DOSES,CUMULATIVE_SERIES_COMPLETED,CUMULATIVE_RECIPIENTS,NEW_BOOSTER_DOSES,NEW_BOOSTER_RECIPIENTS,CUMULATIVE_BOOSTER_DOSES,CUMULATIVE_BOOSTER_RECIPIENTS
1,2020-12-11,1,0,0,0,1,1,0,0,0,1,0,0,0,0
2,2020-12-12,1,1,0,1,2,2,1,0,1,3,0,0,0,0
3,2020-12-13,0,0,0,0,0,2,1,0,1,3,0,0,0,0
4,2020-12-14,1,0,0,0,1,3,1,0,1,4,0,0,0,0
5,2020-12-15,14,0,0,0,14,17,1,0,1,18,0,0,0,0
6,2020-12-16,235,0,0,0,235,252,1,0,1,253,0,0,0,0
7,2020-12-17,418,0,0,0,418,670,1,0,1,671,0,0,0,0
8,2020-12-18,932,1,0,1,933,1602,2,0,2,1604,0,0,0,0
9,2020-12-19,644,0,0,0,644,2246,2,0,2,2248,0,0,0,0
10,2020-12-20,496,2,0,2,498,2742,4,0,4,2746,0,0,0,0
11,2020-12-21,1178,0,0,0,1178,3920,4,0,4,3924,0,0,0,0
12,2020-12-22,1423,1,0,1,1424,5343,5,0,5,5348,0,0,0,0
13,2020-12-23,1433,6,0,6,1439,6776,11,0,11,6787,0,0,0,0
14,2020-12-24,865,2,0,2,867,7641,13,0,13,7654,0,0,0,0
15,2020-12-25,47,0,0,0,47,7688,13,0,13,7701,0,0,0,0
16,2020-12-26,260,0,0,0,260,7948,13,0,13,7961,0,0,0,0
17,2020-12-27,282,1,0,1,283,8230,14,0,14,8244,0,0,0,0
18,2020-12-28,1300,6,0,6,1306,9530,20,0,20,9550,0,0,0,0
19,2020-12-29,1433,3,0,3,1436,10963,23,0,23,10986,0,0,0,0
20,2020-12-30,1675,6,0,6,1681,12638,29,0,29,12667,0,0,0,0
21,2020-12-31,1050,0,0,0,1050,13688,29,0,29,13717,0,0,0,0
22,2021-01-01,91,1,0,1,92,13779,30,0,30,13809,0,0,0,0
23,2021-01-02,372,2,0,2,374,14151,32,0,32,14183,0,0,0,0
24,2021-01-03,327,0,0,0,327,14478,32,0,32,14510,0,0,0,0
25,2021-01-04,1894,22,0,22,1896,16372,54,0,54,16406,0,0,0,0
26,2021-01-05,2164,51,0,51,2165,18536,105,0,105,18571,0,0,0,0
27,2021-01-06,1617,281,0,281,1618,20153,386,0,386,20189,0,0,0,0
28,2021-01-07,1626,494,0,494,1628,21779,880,0,880,21817,0,0,0,0
29,2021-01-08,1507,880,0,880,1508,23286,1760,0,1760,23325,0,0,0,0
30,2021-01-09,930,548,0,548,933,24216,2308,0,2308,24258,0,0,0,0
31,2021-01-10,467,469,0,469,468,24683,2777,0,2777,24726,0,0,0,0
32,2021-01-11,1464,1121,0,1121,1465,26147,3898,0,3898,26191,0,0,0,0
33,2021-01-12,1918,1228,0,1228,1919,28065,5126,0,5126,28110,0,0,0,0
34,2021-01-13,2036,863,0,863,2036,30101,5989,0,5989,30146,0,0,0,0
35,2021-01-14,1968,555,0,555,1969,32069,6544,0,6544,32115,0,0,0,0
36,2021-01-15,2406,408,0,408,2410,34475,6952,0,6952,34525,0,0,0,0
37,2021-01-16,2090,173,0,173,2092,36565,7125,0,7125,36617,0,0,0,0
38,2021-01-17,1631,306,0,306,1631,38196,7431,0,7431,38248,0,0,0,0
39,2021-01-18,1150,281,0,281,1151,39346,7712,0,7712,39399,0,0,0,0
40,2021-01-19,1854,891,0,891,1855,41200,8603,0,8603,41254,0,0,0,0
41,2021-01-20,2142,810,0,810,2144,43342,9413,0,9413,43398,0,0,0,0
42,2021-01-21,2619,898,0,898,2619,45961,10311,0,10311,46017,0,0,0,0
43,2021-01-22,2911,520,0,520,2912,48872,10831,0,10831,48929,0,0,0,0
44,2021-01-23,2785,401,0,401,2786,51657,11232,0,11232,51715,0,0,0,0
45,2021-01-24,2211,243,0,243,2211,53868,11475,0,11475,53926,0,0,0,0
46,2021-01-25,3065,1610,0,1610,3067,56933,13085,0,13085,56993,0,0,0,0
47,2021-01-26,3202,1674,0,1674,3204,60135,14759,0,14759,60197,0,0,0,0
48,2021-01-27,3030,1330,0,1330,3030,63165,16089,0,16089,63227,0,0,0,0
49,2021-01-28,2745,1249,0,1249,2748,65910,17338,0,17338,65975,0,0,0,0
50,2021-01-29,3591,1338,0,1338,3591,69501,18676,0,18676,69566,0,0,0,0
51,2021-01-30,3325,471,0,471,3328,72826,19147,0,19147,72894,0,0,0,0
52,2021-01-31,2198,161,0,161,2199,75024,19308,0,19308,75093,0,0,0,0
53,2021-02-01,3008,1121,0,1121,3010,78032,20429,0,20429,78103,0,0,0,0
54,2021-02-02,3027,1592,0,1592,3028,81059,22021,0,22021,81131,0,0,0,0
55,2021-02-03,3864,1308,0,1308,3865,84923,23329,0,23329,84996,0,0,0,0
56,2021-02-04,3954,1221,0,1221,3954,88877,24550,0,24550,88950,0,0,0,0
57,2021-02-05,4840,1410,0,1410,4842,93717,25960,0,25960,93792,0,0,0,0
58,2021-02-06,4876,865,0,865,4879,98593,26825,0,26825,98671,0,0,0,0
59,2021-02-07,3956,582,0,582,3960,102549,27407,0,27407,102631,0,0,0,0
60,2021-02-08,5861,1355,0,1355,5862,108410,28762,0,28762,108493,0,0,0,0
61,2021-02-09,4661,1639,0,1639,4663,113071,30401,0,30401,113156,0,0,0,0
62,2021-02-10,5327,1966,0,1966,5330,118398,32367,0,32367,118486,0,0,0,0
63,2021-02-11,5174,1940,0,1940,5178,123572,34307,0,34307,123664,0,0,0,0
64,2021-02-12,3623,1935,0,1935,3624,127195,36242,0,36242,127288,0,0,0,0
65,2021-02-13,3107,1376,0,1376,3108,130302,37618,0,37618,130396,0,0,0,0
66,2021-02-14,2361,1182,0,1182,2363,132663,38800,0,38800,132759,0,0,0,0
67,2021-02-15,1699,1132,0,1132,1700,134362,39932,0,39932,134459,0,0,0,0
68,2021-02-16,3154,2235,0,2235,3156,137516,42167,0,42167,137615,0,0,0,0
69,2021-02-17,3096,2485,0,2485,3098,140612,44652,0,44652,140713,0,0,0,0
70,2021-02-18,2890,2732,0,2732,2891,143502,47384,0,47384,143604,0,0,0,0
71,2021-02-19,3068,2846,0,2846,3068,146570,50230,0,50230,146672,0,0,0,0
